channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;2277;-1;0;-1;-1;586;49.231395;-4.484855;10.800000190734863;2;57.79999923706055;62;0;0;0;-1;798438.481170653;0.0
2;1;0;-1;990;6;-1;-1;989;49.23488833333333;-4.476313333333334;10.800000190734863;2;55.79999923706055;64;0;0;0;-1;798569.237274169;130.7561
2;1;0;-1;-1;1;-1;-1;265;49.24344166666667;-4.454033333333333;11.0;2;61.79999923706055;63;0;0;0;-1;798909.923583984;340.6863
