channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;3;0;-1;-1;-1;0;0;501;47.89262333333333;-5.388843333333333;11.300000190734863;2;128.39999389648438;135;0;0;0;-1;269719.07824707;0.0
1;3;0;-1;-1;-1;0;0;2008;47.65256333333333;-5.004013333333333;11.5;2;131.60000610351562;136;0;0;0;-1;276359.220855712;6640.1426
2;3;0;-1;-1;-1;242;1;2045;47.60738;-4.933525;11.800000190734863;2;134.5;136;0;0;0;-1;277560.218536377;1200.9977
