channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;-1;-1;3;-1;-1;1074;48.106768333333335;-5.3791633333333335;12.0;2;93.69999694824219;93;0;0;0;-1;548492.858703613;10.6008
2;1;0;-1;1439;6;-1;-1;1440;48.10675166666667;-5.378326666666666;12.100000381469727;2;92.5;93;0;0;0;-1;548502.603546142;9.7448
1;1;0;-1;1764;4;-1;-1;1765;48.10673833333333;-5.37768;11.800000190734863;2;91.69999694824219;93;0;0;0;-1;548511.276763915;8.6732
1;1;0;-1;259;4;-1;-1;259;48.10669166666667;-5.376006666666667;12.199999809265137;2;93.4000015258789;92;0;0;0;-1;548531.118225097;19.8415
2;1;0;-1;-1;1;-1;-1;678;48.106656666666666;-5.375076666666667;12.0;2;92.5999984741211;93;0;0;0;-1;548542.283416747;11.1652
1;1;0;-1;1074;2;-1;-1;1074;48.106611666666666;-5.374226666666667;12.399999618530273;2;91.9000015258789;92;0;0;0;-1;548552.856689452;10.5733
2;1;0;-1;-1;5;-1;-1;1440;48.10659;-5.373385;12.300000190734863;2;91.69999694824219;92;0;0;0;-1;548562.603424072;9.7467
2;1;0;-1;-1;3;-1;-1;2179;48.10657;-5.371698333333334;12.199999809265137;2;91.4000015258789;91;0;0;0;-1;548582.316833495;19.7134
1;1;0;-1;-1;3;-1;-1;259;48.106561666666664;-5.37105;11.899999618530273;2;88.5999984741211;92;0;0;0;-1;548591.118164062;8.8013
2;1;0;2237;-1;0;-1;-1;677;48.10654;-5.369961666666667;12.0;2;91.80000305175781;92;0;0;0;-1;548602.258087158;11.1399
1;1;0;-1;-1;1;-1;-1;1074;48.10653;-5.369128333333333;12.199999809265137;2;92.30000305175781;91;0;0;0;-1;548612.856689452;10.5986
2;1;0;-1;1439;4;-1;-1;1439;48.10651333333333;-5.3683;11.899999618530273;2;90.69999694824219;92;0;0;0;-1;548622.577819824;9.7211
1;1;0;-1;1764;2;-1;-1;1764;48.10649333333333;-5.367628333333333;12.199999809265137;2;92.0999984741211;91;0;0;0;-1;548631.24118042;8.6634
2;1;0;-1;2179;2;-1;-1;2179;48.10648166666667;-5.366715;12.0;2;91.5999984741211;91;0;0;0;-1;548642.317077636;11.0759
1;1;0;-1;259;2;-1;-1;259;48.10646;-5.365963333333333;12.100000381469727;2;91.69999694824219;92;0;0;0;-1;548651.117919921;8.8008
2;1;0;-1;-1;5;-1;-1;664;48.106433333333335;-5.365051666666667;12.0;2;93.4000015258789;91;0;0;0;-1;548661.918273925;10.8004
1;1;0;2227;-1;0;-1;-1;1074;48.106426666666664;-5.3641266666666665;12.100000381469727;2;91.5;91;0;0;0;-1;548672.840698241;10.9224
1;1;0;-1;-1;1;-1;-1;1764;48.10640333333333;-5.362633333333333;11.800000190734863;2;91.80000305175781;91;0;0;0;-1;548691.240722656;18.4
2;1;0;-1;-1;1;-1;-1;2179;48.106395;-5.36171;12.300000190734863;2;90.19999694824219;92;0;0;0;-1;548702.316467284;11.0757
1;1;0;-1;-1;1;-1;-1;259;48.106386666666666;-5.360985;11.800000190734863;2;90.80000305175781;91;0;0;0;-1;548711.118347167;8.8019
2;1;0;-1;664;4;-1;-1;664;48.106388333333335;-5.3601366666666665;12.100000381469727;2;89.5999984741211;92;0;0;0;-1;548721.91845703;10.8001
1;1;0;-1;1051;4;-1;-1;1051;48.10637666666667;-5.359235;12.100000381469727;2;90.4000015258789;93;0;0;0;-1;548732.239624022;10.3212
2;1;0;-1;1439;2;-1;-1;1439;48.10635666666667;-5.358316666666667;12.0;2;92.0;92;0;0;0;-1;548742.577453613;10.3378
1;1;0;2264;-1;0;-1;-1;1764;48.10635166666667;-5.357568333333333;12.0;2;90.0999984741211;94;0;0;0;-1;548751.240753174;8.6633
2;1;0;2255;-1;0;-1;-1;2179;48.106321666666666;-5.356635;12.199999809265137;2;92.9000015258789;93;0;0;0;-1;548762.318115234;11.0774
1;1;0;2300;-1;0;-1;-1;259;48.10632833333333;-5.355975;12.100000381469727;2;89.69999694824219;94;0;0;0;-1;548771.118164062;8.8
2;1;0;-1;-1;3;-1;-1;664;48.10628666666667;-5.355026666666666;12.300000190734863;2;91.80000305175781;95;0;0;0;-1;548781.917938232;10.7998
2;1;0;-1;-1;1;-1;-1;1439;48.106246666666664;-5.353235;12.300000190734863;2;90.19999694824219;96;0;0;0;-1;548802.577209472;20.6593
1;1;0;-1;-1;7;-1;-1;1778;48.10619666666667;-5.35245;12.800000190734863;2;94.4000015258789;93;0;0;0;-1;548811.618011474;9.0408
2;1;0;-1;2184;4;-1;-1;2183;48.10617833333333;-5.351613333333334;12.100000381469727;2;90.9000015258789;95;0;0;0;-1;548822.440216064;10.8222
1;1;0;-1;309;6;-1;-1;308;48.106098333333335;-5.35074;12.600000381469727;2;95.5;95;0;0;0;-1;548832.440399169;10.0002
2;1;0;-1;664;2;-1;-1;664;48.10606166666667;-5.349903333333334;12.399999618530273;2;96.5;93;0;0;0;-1;548841.918670653;9.4783
1;1;0;-1;1051;2;-1;-1;1051;48.106015;-5.349033333333334;12.399999618530273;2;93.5999984741211;95;0;0;0;-1;548852.240325928;10.3217
2;1;0;2229;-1;0;-1;-1;1439;48.10595333333333;-5.348183333333333;12.5;2;95.30000305175781;95;0;0;0;-1;548862.577301025;10.337
1;1;0;-1;1778;6;-1;-1;1778;48.105915;-5.3473983333333335;12.600000381469727;2;96.4000015258789;94;0;0;0;-1;548871.617279052;9.04
2;1;0;-1;-1;3;-1;-1;2183;48.10585666666667;-5.34646;12.399999618530273;2;95.5;94;0;0;0;-1;548882.439941406;10.8227
1;1;0;-1;-1;5;-1;-1;308;48.10579666666667;-5.345585;12.600000381469727;2;94.19999694824219;95;0;0;0;-1;548892.440032958;10.0001
