channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;-1;-1;3;-1;-1;2049;49.39971333333333;-5.488103333333333;10.199999809265137;2;229.1999969482422;227;0;0;0;-1;1293894.79724121;0.0
1;1;0;-1;1298;6;-1;-1;1296;49.396675;-5.493696666666667;10.199999809265137;2;229.6999969482422;227;0;0;0;-1;1293994.716918945;99.9197
1;1;0;-1;-1;1;-1;-1;1308;49.35967;-5.557423333333333;10.899999618530273;2;223.5;223;0;0;0;-1;1295135.039520263;1140.3226
