channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
2;3;0;-1;-1;-1;1583;1;1990;47.72407333333334;-4.8143;7.199999809265137;2;300.6000061035156;303;0;0;0;-1;1035534.63961792;0.0
1;1;0;-1;-1;1;-1;-1;149;47.75147;-4.875923333333334;8.100000381469727;2;307.79998779296875;304;0;0;0;-1;1036805.538848877;1270.8992
1;1;0;-1;1661;6;-1;-1;1660;47.79783833333333;-4.98038;8.100000381469727;2;300.29998779296875;306;0;0;0;-1;1038945.822357177;2140.2835
