channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;-1;-1;1;-1;-1;56;47.41759833333333;-6.65591;14.399999618530273;4;28.5;25;0;0;0;-1;295087.077972412;0.0
2;1;0;-1;-1;3;-1;-1;738;47.418643333333335;-6.6550666666666665;14.399999618530273;4;28.700000762939453;25;0;0;0;-1;295105.2578125;18.1798
1;1;0;-1;1857;2;-1;-1;1858;47.420406666666665;-6.65369;14.399999618530273;4;28.299999237060547;25;0;0;0;-1;295135.122924805;29.8651
2;1;0;-1;1648;2;-1;-1;1649;47.43758;-6.639855;14.300000190734863;4;27.5;25;0;0;0;-1;295429.556854247;294.4339
2;1;0;-1;-1;5;-1;-1;715;47.439553333333336;-6.638248333333333;14.300000190734863;4;28.799999237060547;25;0;0;0;-1;295464.662536621;35.1057
2;1;0;-1;1189;2;-1;-1;1190;47.468395;-6.61563;14.199999809265137;4;27.200000762939453;25;0;0;0;-1;295957.323303222;492.6608
1;1;0;-1;-1;1;-1;-1;1403;47.468738333333334;-6.61536;14.199999809265137;4;27.600000381469727;25;0;0;0;-1;295963.004638671;5.6813
1;1;0;-1;-1;5;-1;-1;548;47.64261833333333;-6.481246666666666;13.899999618530273;2;26.700000762939453;26;0;0;0;-1;299060.181884765;3097.1772
